,,,,,,,,,,,
Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Business, $177.00 , $-   ,49,9,M,Single,37,Other,4,Skilled,Low
Small Appliance, $-   , $337.00 ,25,107,M,Single,35,Own,1,Management,Low
New Car, $-   , $716.00 ,19,33,M,Single,30,Own,2,Skilled,High
Education, $996.00 , $837.00 ,49,83,M,Single,49,Other,4,Skilled,High
Education, $705.00 , $-   ,25,24,F,Divorced,32,Own,2,Skilled,Low
Furniture, $-   ," $7,710.00 ",25,114,M,Single,52,Own,4,Skilled,Low
New Car, $-   , $531.00 ,13,5,M,Single,45,Own,2,Skilled,High
Small Appliance," $5,960.00 ", $129.00 ,13,16,M,Married,23,Own,1,Skilled,Low
Furniture, $-   , $941.00 ,13,111,M,Single,41,Own,4,Skilled,Low
Furniture, $759.00 , $596.00 ,10,18,F,Divorced,28,Own,2,Skilled,High
Furniture, $-   , $987.00 ,37,101,M,Single,30,Own,4,Skilled,High
Small Appliance, $651.00 , $-   ,37,102,M,Single,50,Own,2,Skilled,Low
Business, $257.00 , $460.00 ,49,75,F,Divorced,58,Rent,3,Skilled,High
Small Appliance, $955.00 , $-   ,49,29,M,Single,36,Own,3,Skilled,Low
Small Appliance, $-   , $798.00 ,25,42,M,Single,23,Rent,4,Unskilled,High
Small Appliance," $8,249.00 ", $-   ,31,77,M,Single,48,Own,4,Unskilled,Low
Small Appliance, $-   , $959.00 ,11,21,M,Single,37,Own,4,Skilled,Low
Small Appliance, $956.00 ," $1,482.00 ",46,19,M,Single,20,Rent,4,Skilled,High
New Car, $382.00 , $883.00 ,31,20,F,Divorced,23,Own,2,Skilled,High
Furniture, $-   ," $12,721.00 ",37,31,F,Divorced,39,Own,4,Skilled,Low
Education, $842.00 , $-   ,37,9,M,Single,34,Other,4,Unskilled,Low
Repairs," $3,111.00 ", $-   ,13,27,F,Divorced,22,Own,4,Skilled,Low
Small Appliance, $-   , $302.00 ,10,30,M,Single,21,Own,2,Skilled,High
Furniture, $-   , $538.00 ,25,59,M,Single,38,Rent,2,Management,High
Small Appliance," $2,846.00 ", $-   ,13,14,M,Single,36,Other,4,Skilled,Low
Small Appliance, $231.00 , $702.00 ,10,99,M,Single,26,Own,4,Unskilled,Low
Repairs, $-   ," $2,688.00 ",10,89,M,Single,47,Own,4,Skilled,Low
Small Appliance," $17,366.00 ", $-   ,16,21,M,Single,38,Other,4,Skilled,High
Small Appliance, $-   , $425.00 ,13,10,M,Single,27,Rent,2,Skilled,High
New Car, $332.00 , $214.00 ,25,2,M,Single,25,Own,1,Skilled,Low
Small Appliance, $242.00 , $-   ,19,6,M,Single,28,Own,3,Skilled,Low
New Car, $-   , $272.00 ,7,90,M,Single,67,Own,4,Management,High
Business, $929.00 , $124.00 ,9,1,M,Married,25,Own,2,Skilled,Low
Small Appliance, $-   ," $17,124.00 ",13,95,M,Married,34,Own,1,Skilled,Low
Used Car, $-   , $612.00 ,49,32,M,Single,38,Other,4,Skilled,High
New Car, $-   , $862.00 ,49,62,M,Single,41,Other,4,Management,High
Furniture, $-   , $146.00 ,25,46,M,Single,26,Own,4,Skilled,High
New Car, $-   ," $14,190.00 ",37,92,M,Single,35,Own,4,Skilled,Low
Used Car, $-   , $396.00 ,49,73,M,Single,45,Other,4,Skilled,High
Small Appliance, $-   , $519.00 ,31,23,F,Divorced,32,Own,2,Skilled,Low
Used Car, $646.00 , $-   ,25,9,M,Divorced,47,Other,4,Skilled,Low
New Car, $538.00 , $344.00 ,13,40,M,Married,24,Own,3,Unskilled,High
Furniture, $-   , $204.00 ,31,5,M,Divorced,30,Own,4,Unskilled,High
Small Appliance, $-   , $148.00 ,43,2,M,Single,33,Own,3,Skilled,High
Furniture, $-   , $435.00 ,19,16,F,Divorced,23,Rent,4,Skilled,High
Small Appliance, $-   , $914.00 ,19,0,F,Divorced,21,Rent,4,Skilled,High
New Car, $135.00 , $-   ,37,7,M,Single,36,Other,4,Skilled,High
Used Car," $2,472.00 ", $-   ,37,41,M,Single,30,Own,2,Management,Low
New Car, $-   , $412.00 ,25,22,M,Single,52,Other,4,Skilled,High
New Car," $10,417.00 "," $19,811.00 ",13,27,M,Married,27,Own,2,Skilled,High
Small Appliance, $211.00 , $822.00 ,8,5,F,Divorced,44,Own,1,Skilled,Low
Small Appliance," $16,630.00 ", $-   ,11,47,M,Single,26,Own,2,Skilled,Low
Furniture, $-   ," $3,369.00 ",25,17,M,Single,24,Own,1,Skilled,Low
Furniture, $642.00 , $-   ,13,65,F,Divorced,24,Own,2,Skilled,High
Small Appliance, $-   , $707.00 ,7,26,M,Single,50,Own,2,Skilled,Low
Small Appliance, $296.00 , $818.00 ,19,93,M,Married,31,Own,2,Unskilled,Low
Business, $898.00 , $177.00 ,22,105,F,Divorced,38,Own,4,Skilled,High
New Car, $478.00 ," $4,071.00 ",10,40,M,Single,28,Own,3,Skilled,High
New Car, $315.00 , $466.00 ,13,3,M,Single,48,Own,3,Unskilled,Low
New Car, $122.00 , $460.00 ,37,109,M,Single,56,Other,2,Management,High
Furniture, $-   , $991.00 ,7,3,F,Divorced,31,Own,4,Skilled,High
Small Appliance, $-   ," $17,653.00 ",22,4,F,Divorced,28,Own,2,Skilled,Low
Education, $-   , $497.00 ,41,24,M,Single,26,Own,3,Skilled,High
Business, $670.00 ," $4,014.00 ",31,21,F,Divorced,25,Rent,4,Unskilled,High
Business, $444.00 , $921.00 ,28,51,F,Divorced,41,Other,4,Management,High
New Car," $3,880.00 ", $-   ,23,37,F,Divorced,24,Rent,4,Skilled,Low
Used Car, $819.00 , $-   ,13,23,M,Single,29,Own,2,Skilled,Low
Used Car, $-   , $607.00 ,37,17,M,Single,25,Own,2,Skilled,High
Large Appliance, $-   ," $15,800.00 ",16,40,M,Single,35,Own,3,Skilled,Low
Furniture, $-   , $369.00 ,7,23,M,Single,35,Own,2,Unskilled,Low
Business, $-   ," $4,973.00 ",25,17,M,Single,26,Own,3,Unskilled,Low
Furniture, $-   , $-   ,40,30,M,Single,29,Own,4,Management,Low
New Car, $-   , $761.00 ,25,92,M,Single,59,Own,4,Unskilled,High
Education, $-   , $471.00 ,7,52,F,Divorced,34,Other,4,Skilled,High
Used Car, $-   , $674.00 ,37,69,M,Single,41,Other,4,Skilled,Low
New Car, $-   , $547.00 ,13,40,M,Divorced,35,Own,3,Skilled,High
Furniture, $161.00 , $524.00 ,13,106,M,Single,27,Rent,4,Skilled,Low
Furniture, $-   , $815.00 ,19,13,M,Single,41,Own,3,Skilled,High
Used Car, $-   , $-   ,11,4,F,Divorced,30,Rent,4,Skilled,Low
New Car, $789.00 , $989.00 ,31,0,M,Married,27,Own,2,Management,High
Small Appliance, $765.00 ," $10,406.00 ",10,24,F,Divorced,65,Own,3,Unskilled,Low
Furniture, $-   , $957.00 ,19,11,F,Divorced,19,Rent,4,Skilled,High
New Car, $-   , $770.00 ,37,3,F,Divorced,33,Own,4,Skilled,High
Furniture, $983.00 , $950.00 ,13,5,F,Divorced,24,Rent,3,Skilled,High
Used Car, $-   , $160.00 ,13,7,M,Married,40,Rent,4,Skilled,Low
Used Car, $-   , $276.00 ,25,91,M,Single,62,Own,4,Skilled,Low
Education, $798.00 , $137.00 ,25,25,F,Divorced,33,Other,4,Unskilled,High
New Car, $-   , $579.00 ,22,70,M,Married,29,Own,3,Skilled,Low
New Car, $193.00 ," $2,684.00 ",13,5,F,Divorced,22,Own,2,Unskilled,High
Small Appliance, $497.00 , $-   ,7,51,M,Single,35,Other,4,Skilled,Low
Furniture, $-   , $-   ,31,53,M,Single,30,Own,4,Skilled,High
New Car, $-   , $-   ,25,103,F,Divorced,28,Own,2,Skilled,High
New Car, $-   , $712.00 ,16,6,F,Divorced,28,Own,2,Skilled,High
New Car, $-   , $912.00 ,7,39,M,Single,44,Own,3,Management,Low
