Loan Purpose,Checking ,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
New Car,0.00,14190.00,37,92,M,Single,35,Own,4,Skilled,Low
Used Car,0.00,396.00,49,73,M,Single,45,Other,4,Skilled,High
Small Appliance,0.00,519.00,31,23,F,Divorced,32,Own,2,Skilled,Low
Used Car,646.00,0.00,25,9,M,Divorced,47,Other,4,Skilled,Low
New Car,538.00,344.00,13,40,M,Married,24,Own,3,Unskilled,High
Furniture,0.00,204.00,31,5,M,Divorced,30,Own,4,Unskilled,High
Small Appliance,0.00,148.00,43,2,M,Single,33,Own,3,Skilled,High
Furniture,0.00,435.00,19,16,F,Divorced,23,Rent,4,Skilled,High
Small Appliance,0.00,914.00,19,0,F,Divorced,21,Rent,4,Skilled,High
New Car,135.00,0.00,37,7,M,Single,36,Other,4,Skilled,High
Used Car,2472.00,0.00,37,41,M,Single,30,Own,2,Management,Low
New Car,0.00,412.00,25,22,M,Single,52,Other,4,Skilled,High
New Car,10417.00,19811.00,13,27,M,Married,27,Own,2,Skilled,High
Small Appliance,211.00,822.00,8,5,F,Divorced,44,Own,1,Skilled,Low
Small Appliance,16630.00,0.00,11,47,M,Single,26,Own,2,Skilled,Low
Furniture,0.00,3369.00,25,17,M,Single,24,Own,1,Skilled,Low
Furniture,642.00,0.00,13,65,F,Divorced,24,Own,2,Skilled,High
Small Appliance,0.00,707.00,7,26,M,Single,50,Own,2,Skilled,Low
Small Appliance,296.00,818.00,19,93,M,Married,31,Own,2,Unskilled,Low
Business,898.00,177.00,22,105,F,Divorced,38,Own,4,Skilled,High
New Car,478.00,4071.00,10,40,M,Single,28,Own,3,Skilled,High
New Car,315.00,466.00,13,3,M,Single,48,Own,3,Unskilled,Low
New Car,122.00,460.00,37,109,M,Single,56,Other,2,Management,High
Furniture,0.00,991.00,7,3,F,Divorced,31,Own,4,Skilled,High
Small Appliance,0.00,17653.00,22,4,F,Divorced,28,Own,2,Skilled,Low
Education,0.00,497.00,41,24,M,Single,26,Own,3,Skilled,High
Business,670.00,4014.00,31,21,F,Divorced,25,Rent,4,Unskilled,High
Business,444.00,921.00,28,51,F,Divorced,41,Other,4,Management,High
New Car,3880.00,0.00,23,37,F,Divorced,24,Rent,4,Skilled,Low
Used Car,819.00,0.00,13,23,M,Single,29,Own,2,Skilled,Low
Used Car,0.00,607.00,37,17,M,Single,25,Own,2,Skilled,High
Large Appliance,0.00,15800.00,16,40,M,Single,35,Own,3,Skilled,Low
Furniture,0.00,369.00,7,23,M,Single,35,Own,2,Unskilled,Low
Business,0.00,4973.00,25,17,M,Single,26,Own,3,Unskilled,Low
Furniture,0.00,0.00,40,30,M,Single,29,Own,4,Management,Low
New Car,0.00,761.00,25,92,M,Single,59,Own,4,Unskilled,High
Education,0.00,471.00,7,52,F,Divorced,34,Other,4,Skilled,High
Used Car,0.00,674.00,37,69,M,Single,41,Other,4,Skilled,Low
New Car,0.00,547.00,13,40,M,Divorced,35,Own,3,Skilled,High
Furniture,161.00,524.00,13,106,M,Single,27,Rent,4,Skilled,Low
Furniture,0.00,815.00,19,13,M,Single,41,Own,3,Skilled,High
Used Car,0.00,0.00,11,4,F,Divorced,30,Rent,4,Skilled,Low
New Car,789.00,989.00,31,0,M,Married,27,Own,2,Management,High
Small Appliance,765.00,10406.00,10,24,F,Divorced,65,Own,3,Unskilled,Low
Furniture,0.00,957.00,19,11,F,Divorced,19,Rent,4,Skilled,High
New Car,0.00,770.00,37,3,F,Divorced,33,Own,4,Skilled,High
Furniture,983.00,950.00,13,5,F,Divorced,24,Rent,3,Skilled,High
Used Car,0.00,160.00,13,7,M,Married,40,Rent,4,Skilled,Low
Used Car,0.00,276.00,25,91,M,Single,62,Own,4,Skilled,Low
Education,798.00,137.00,25,25,F,Divorced,33,Other,4,Unskilled,High
New Car,0.00,579.00,22,70,M,Married,29,Own,3,Skilled,Low
New Car,193.00,2684.00,13,5,F,Divorced,22,Own,2,Unskilled,High
Small Appliance,497.00,0.00,7,51,M,Single,35,Other,4,Skilled,Low
Furniture,0.00,0.00,31,53,M,Single,30,Own,4,Skilled,High
New Car,0.00,0.00,25,103,F,Divorced,28,Own,2,Skilled,High
New Car,0.00,712.00,16,6,F,Divorced,28,Own,2,Skilled,High
New Car,0.00,912.00,7,39,M,Single,44,Own,3,Management,Low
